concat,weighted_sum,V
1 7 7,30,227.08718478679663
1 7 8,31,229.1697263717652
1 7 9,32,231.22105002403265
1 7 10,33,233.36833715438848
1 7 11,34,235.54302752017983
1 7 12,35,237.73582279682168
1 7 13,36,240.0088012218476
1 7 14,37,242.27906763553628
1 7 15,38,244.5802092552186
1 7 16,39,246.90471589565288
1 8 0,24,215.4571563005448
1 8 1,25,217.29455888271335
1 8 2,26,219.16151046752933
1 8 3,27,221.08241915702823
1 8 4,28,223.06245565414437
1 8 5,29,225.0842303037644
1 8 6,30,227.07796096801763
1 8 7,31,229.13911938667303
1 8 8,32,231.26058280467996
1 8 9,33,233.3754301071168
1 8 10,34,235.55928468704232
1 8 11,35,237.7653270959855
1 8 12,36,240.0054335594178
1 8 13,37,242.2729283571244
1 8 14,38,244.59579586982736
1 8 15,39,246.9190955162049
1 8 16,40,249.2929399
1 9 0,25,217.2702997922898
1 9 1,26,219.17878091335305
1 9 2,27,221.0980504751206
1 9 3,28,223.04284572601324
1 9 4,29,225.0523269176484
1 9 5,30,227.10752487182623
1 9 6,31,229.15190458297732
1 9 7,32,231.24508559703835
1 9 8,33,233.38194191455847
1 9 9,34,235.5719506740571
1 9 10,35,237.75462806224832
1 9 11,36,240.02780020236975
1 9 12,37,242.2879636
1 9 13,38,244.62151527404797
1 9 14,39,246.94201350212103
1 9 15,40,249.295935034752
1 9 16,41,251.70844793319716
1 10 0,26,219.1432565450669
1 10 1,27,221.07860445976263
1 10 2,28,223.02977740764624
1 10 3,29,225.0571697950364
1 10 4,30,227.07891464233404
1 10 5,31,229.16831076145175
1 10 6,32,231.24377429485327
1 10 7,33,233.38627815246588
1 10 8,34,235.55557429790505
1 10 9,35,237.77222633361825
1 10 10,36,240.03772437572488
1 10 11,37,242.29997396469125
1 10 12,38,244.6327060461045
1 10 13,39,246.95649743080148
1 10 14,40,249.3280768394471
1 10 15,41,251.74239277839672
1 10 16,42,254.1700303554536
1 11 0,27,221.08218073844915
1 11 1,28,223.0315655469895
1 11 2,29,225.04849731922155
1 11 3,30,227.09688544273385
1 11 4,31,229.1606962680817
1 11 5,32,231.279879808426
1 11 6,33,233.39509963989263
1 11 7,34,235.5773597955705
1 11 8,35,237.77534067630776
1 11 9,36,240.0427758693696
1 11 10,37,242.34308302402505
1 11 11,38,244.61935460567483
1 11 12,39,246.9632476568223
1 11 13,40,249.34838712215432
1 11 14,41,251.75595283508312
1 11 15,42,254.2063891887666
1 11 16,43,256.6497623920442
1 12 0,28,223.0364084243775
1 12 1,29,225.02307593822485
1 12 2,30,227.0724624395371
1 12 3,31,229.1548848152161
1 12 4,32,231.2492579221726
1 12 5,33,233.4066033363343
1 12 6,34,235.58072745800027
1 12 7,35,237.80173063278207
1 12 8,36,240.0843948
1 12 9,37,242.33819544315347
1 12 10,38,244.655340909958
1 12 11,39,246.9802796840669
1 12 12,40,249.3634670972825
1 12 13,41,251.7748773097993
1 12 14,42,254.23127412796032
1 12 15,43,256.66168332099926
1 12 16,44,259.17872786521923
1 13 0,29,225.02855956554416
1 13 1,30,227.0632833242417
1 13 2,31,229.16331887245184
1 13 3,32,231.2740236520768
1 13 4,33,233.39463770389565
1 13 5,34,235.58494448661813
1 13 6,35,237.8058284521104
1 13 7,36,240.04559218883523
1 13 8,37,242.34400689601907
1 13 9,38,244.66088414192208
1 13 10,39,247.0123320817948
1 13 11,40,249.3869513
1 13 12,41,251.78882479667675
1 13 13,42,254.2303204536439
1 13 14,43,256.69339299201977
1 13 15,44,259.1984570026399
1 13 16,45,261.73314452171337
1 14 0,30,227.10633277893072
1 14 1,31,229.13593053817755
1 14 2,32,231.28791153430944
1 14 3,33,233.43914747238168
1 14 4,34,235.59577763080603
1 14 5,35,237.8132790327073
1 14 6,36,240.06859958171853
1 14 7,37,242.3821985721589
1 14 8,38,244.6911036968232
1 14 9,39,247.0038980245591
1 14 10,40,249.40492212772375
1 14 11,41,251.8165409564973
1 14 12,42,254.26140427589428
1 14 13,43,256.71887397766125
1 14 14,44,259.22763347625744
1 14 15,45,261.74575090408337
1 14 16,46,264.3061876296998
1 15 0,31,229.14664447307592
1 15 1,32,231.30236566066748
1 15 2,33,233.4467470645905
1 15 3,34,235.61739921569836
1 15 4,35,237.8166615962983
1 15 5,36,240.07199704647076
1 15 6,37,242.3601150512696
1 15 7,38,244.6874827146531
1 15 8,39,247.03186750412
1 15 9,40,249.4125962257386
1 15 10,41,251.84276700019848
1 15 11,42,254.28298115730297
1 15 12,43,256.76387548446667
1 15 13,44,259.2597306
1 15 14,45,261.77823543548595
1 15 15,46,264.3491029739381
1 15 16,47,266.9583261013032
1 16 0,32,231.24727606773385
1 16 1,33,233.4161549806596
1 16 2,34,235.62532663345343
1 16 3,35,237.8155142068864
1 16 4,36,240.0911748409272
1 16 5,37,242.37580597400677
1 16 6,38,244.69383060932168
1 16 7,39,247.0715641975404
1 16 8,40,249.42049384117132
1 16 9,41,251.86803936958324
1 16 10,42,254.30700182914745
1 16 11,43,256.7909657955171
1 16 12,44,259.3055367469789
1 16 13,45,261.8234455585481
1 16 14,46,264.3866240978242
1 16 15,47,266.98875427246105
1 16 16,48,269.58540081977856
2 0 0,32,222.47360646724704
2 0 1,33,224.50949251651767
2 0 2,34,226.5167385339737
2 0 3,35,228.56451570987704
2 0 4,36,230.65914213657385
2 0 5,37,232.78459906578067
2 0 6,38,234.9464893341065
2 0 7,39,237.1447384357453
2 0 8,40,239.37183618545535
2 0 9,41,241.6450530290604
2 0 10,42,243.9505308866501
